,host_name,neighbourhood_group,room_type,price,availability_365,reviews_per_month,Hotel_value
80,Lulú,2,Private room,145,238,0.54,383
81,Sybilla,1,Entire home/apt,110,209,0.49,319
82,JoLynn,1,Entire home/apt,285,328,0.62,613
83,Gaia,2,Entire home/apt,130,38,0.15,168
84,Ana,1,Private room,94,188,0.84,282
85,Maggie,2,Entire home/apt,800,7,0.24,807
86,Starlee,2,Entire home/apt,105,272,0.53,377
87,Edward,1,Private room,60,26,1.73,86
88,Pas,1,Private room,50,0,0.05,50
89,Lulú,2,Private room,85,288,1.54,373
90,Augustin,2,Private room,65,317,0.28,382
91,Sean & Lynette,2,Entire home/apt,131,207,3.4,338
92,Erica,2,Private room,98,185,0.2,283
93,Tracy,2,Entire home/apt,250,158,0.3,408
94,Christiana,2,Entire home/apt,100,0,1.57,100
95,Tyrome,2,Entire home/apt,105,9,1.05,114
96,Dana,1,Entire home/apt,140,198,0.71,338
97,Elliott,1,Private room,89,365,0.11,454
98,Olan,1,Private room,98,364,0.27,462
99,Shelly,2,Entire home/apt,125,311,1.23,436
100,Ssameer Or Trip,1,Private room,60,219,0.87,279
101,Annette,2,Entire home/apt,175,342,2.09,517
102,Meka,1,Private room,65,312,0.6,377
103,Ann,1,Entire home/apt,500,243,0.55,743
104,Seth,2,Private room,101,152,3.02,253
105,Brenda,2,Entire home/apt,220,9,0.79,229
106,Shelly,2,Entire home/apt,125,137,1.46,262
107,Erik,2,Entire home/apt,80,222,0.4,302
108,Dena,1,Private room,100,346,1.61,446
109,Jessica,2,Entire home/apt,200,208,0.2,408
110,Luiz,1,Private room,59,279,3.0,338
111,Erica,2,Private room,125,250,0.2,375
112,Sally,1,Entire home/apt,140,164,0.13,304
113,Dani,2,Entire home/apt,120,192,4.22,312
114,Bruce,1,Entire home/apt,350,298,0.06,648
115,Nimo,1,Entire home/apt,199,260,0.38,459
116,Alexandra,2,Entire home/apt,325,107,3.01,432
117,Stacy,1,Entire home/apt,235,199,0.27,434
118,Bruce,1,Entire home/apt,225,299,1.05,524
119,Evelyn,2,Private room,99,20,3.2,119
120,Emma,1,Entire home/apt,170,318,2.03,488
121,Vero,2,Entire home/apt,400,216,0.24,616
122,Sylvie,1,Entire home/apt,170,224,0.12,394
123,Jen,1,Entire home/apt,100,0,0.23,100
124,Kay,2,Private room,75,324,0.08,399
125,Jo,2,Private room,90,245,0.08,335
126,Lisa,1,Entire home/apt,150,189,0.19,339
127,Fernando And Lenin,1,Private room,85,307,0.33,392
128,Angela,2,Private room,70,310,0.58,380
129,Laurine,1,Entire home/apt,120,213,1.42,333
130,Chris,2,Private room,89,278,2.35,367
131,Uli,1,Entire home/apt,185,209,0.66,394
132,Sol,2,Private room,50,0,1.86,50
133,Cs,1,Entire home/apt,105,16,0.29,121
134,Lara,1,Private room,130,234,0.45,364
135,Tom,1,Entire home/apt,115,12,0.25,127
136,Sunder,2,Private room,77,178,0.02,255
137,Waldemar,2,Private room,76,275,3.89,351
138,Khem,2,Entire home/apt,125,163,2.09,288
139,Sahr,2,Private room,135,365,0.77,500
140,Ali+Scott,2,Entire home/apt,250,34,0.03,284
141,Elisabeth,2,Entire home/apt,199,280,0.1,479
142,Sarah,2,Entire home/apt,140,0,0.04,140
143,Fredah,3,Private room,140,1,0.01,141
144,Khem,2,Entire home/apt,115,170,1.72,285
145,Katherine,2,Entire home/apt,160,188,0.11,348
146,Ming,2,Entire home/apt,195,214,2.19,409
147,Paula,1,Entire home/apt,195,248,0.28,443
148,Lulú,2,Private room,80,262,1.86,342
149,Obed,2,Private room,44,280,1.05,324
150,Karen,1,Private room,156,307,0.74,463
151,Michael,2,Private room,85,339,0.09,424
152,White,2,Private room,125,1,1.61,126
153,Paz,2,Entire home/apt,115,269,0.05,384
154,Irene,1,Private room,69,10,0.32,79
155,Karene,1,Entire home/apt,225,312,1.24,537
156,Viviana,2,Entire home/apt,125,189,0.25,314
157,Sara,1,Entire home/apt,219,290,1.16,509
158,Sarah,2,Entire home/apt,475,230,0.27,705
159,Marie,1,Entire home/apt,99,164,2.6,263
160,Gus,2,Private room,69,53,1.86,122
161,Myung,3,Private room,79,126,0.26,205
162,Renée,2,Entire home/apt,135,3,2.86,138
163,Henry,2,Private room,250,189,0.13,439
164,Sylvia,1,Entire home/apt,250,365,0.08,615
165,Syl,2,Entire home/apt,250,0,2.17,250
166,Lorenzo,1,Entire home/apt,80,0,0.04,80
167,Waldemar,2,Private room,70,336,3.47,406
168,Annette,2,Entire home/apt,165,342,1.4,507
169,Newyorkroomwithaview,5,Private room,70,312,1.66,382
170,Tessa,2,Private room,50,37,0.94,87
171,Waundell,4,Private room,40,353,2.04,393
172,Young,2,Entire home/apt,150,177,1.78,327
173,Bruce,1,Private room,125,310,0.78,435
174,Coral,1,Entire home/apt,196,0,1.06,196
175,Carol,2,Private room,110,321,2.0,431
176,Sara,1,Entire home/apt,170,246,0.8,416
177,Laurine,1,Entire home/apt,165,231,0.75,396
178,Myrna,1,Entire home/apt,150,225,0.36,375
179,Campbell,1,Entire home/apt,100,0,1.79,100
180,Doug,2,Private room,65,0,1.92,65
181,Mark,3,Entire home/apt,350,365,0.11,715
182,Rahul,1,Private room,99,233,1.18,332
183,Miyoung,2,Entire home/apt,200,1,0.58,201
184,Monica,2,Entire home/apt,150,18,0.5,168
185,Marylyn,2,Private room,90,343,1.17,433
186,Kathleen R.,2,Private room,120,250,0.48,370
187,Teresa,1,Private room,75,326,1.85,401
188,Robert,2,Entire home/apt,175,364,0.29,539
189,Alex,1,Entire home/apt,125,0,0.03,125
190,Claudia,1,Entire home/apt,275,299,0.38,574
191,Shane,1,Entire home/apt,299,207,1.04,506
192,Laurie,2,Entire home/apt,135,162,1.43,297
194,Erina,1,Private room,83,7,2.69,90
195,Lee,1,Private room,123,328,3.52,451
196,Jullett,3,Private room,55,365,0.49,420
197,Marlaine,1,Entire home/apt,195,0,1.01,195
198,Charlotte,2,Private room,80,0,0.48,80
199,Mark,3,Entire home/apt,98,240,0.31,338
200,Mark,3,Private room,140,365,0.06,505
201,Mark,3,Entire home/apt,265,365,0.38,630
202,Bob,2,Entire home/apt,249,164,3.44,413
203,Anka,1,Shared room,105,363,0.09,468
205,Kathleen R.,2,Private room,100,250,2.12,350
206,Wayne,1,Entire home/apt,121,247,1.0,368
207,Waundell,4,Private room,45,323,1.45,368
208,Jenny,1,Private room,100,192,1.92,292
209,Paul,2,Entire home/apt,140,125,3.04,265
210,Tami,2,Private room,71,91,0.22,162
211,Jason,1,Private room,130,75,1.17,205
212,Pete,1,Entire home/apt,199,286,1.22,485
213,Gus,2,Private room,69,60,1.13,129
214,Sally,2,Private room,68,0,0.35,68
215,Leonardo,1,Entire home/apt,130,192,2.04,322
216,Alex,2,Entire home/apt,195,58,0.65,253
217,Wayne,1,Private room,64,245,1.84,309
218,Vasili,3,Entire home/apt,140,292,0.16,432
219,S.M.,2,Entire home/apt,159,279,2.12,438
220,Ori,1,Entire home/apt,189,0,1.96,189
221,Ana,1,Entire home/apt,250,3,0.96,253
222,I,1,Entire home/apt,239,351,0.07,590
223,R,1,Entire home/apt,305,201,1.09,506
224,Simon,1,Entire home/apt,155,232,2.1,387
225,Agnes,1,Private room,60,258,4.58,318
226,Linda,2,Private room,135,272,0.26,407
227,Dave,1,Private room,120,341,0.3,461
228,Drica,1,Entire home/apt,150,244,0.39,394
229,Mark,3,Entire home/apt,140,365,0.01,505
230,Betty,2,Entire home/apt,135,12,0.67,147
231,Ricardo & Ashlie,1,Entire home/apt,250,265,0.18,515
232,Leslie,1,Entire home/apt,250,0,0.78,250
233,Harrison,1,Entire home/apt,500,329,0.99,829
234,Jessica,1,Entire home/apt,225,91,0.1,316
235,Blanca,1,Entire home/apt,125,365,1.83,490
236,Wayne,1,Private room,92,253,1.82,345
237,Cynthia,1,Private room,175,365,0.11,540
238,Mich,1,Entire home/apt,99,320,1.22,419
239,Rachel,1,Entire home/apt,195,0,0.04,195
240,Laurine,1,Entire home/apt,140,192,1.3,332
241,Greta,1,Entire home/apt,135,0,0.2,135
242,Frank,1,Entire home/apt,500,348,0.34,848
243,Bethania,1,Private room,80,0,2.21,80
244,Tunji,1,Private room,120,353,1.8,473
245,Anna/Fonzy,1,Entire home/apt,110,140,0.9,250
246,Colette&Sean,2,Entire home/apt,65,2,2.3,67
247,Brie,1,Entire home/apt,130,56,0.58,186
248,Sheila,2,Entire home/apt,99,68,2.13,167
249,Lissette,5,Private room,36,360,1.85,396
250,Lissette,5,Private room,37,0,1.44,37
251,Lissette,5,Private room,37,320,1.71,357
252,Olivia,1,Entire home/apt,175,326,1.78,501
253,Daniel,1,Entire home/apt,205,76,0.7,281
254,Maya,2,Entire home/apt,285,279,1.22,564
255,Scott,2,Private room,59,15,1.77,74
256,Lissette,5,Private room,36,340,3.19,376
257,Dennis & Naoko,3,Entire home/apt,99,226,4.5,325
258,Antonín,2,Private room,39,365,0.46,404
259,Emily,2,Private room,60,0,0.09,60
261,Vie,4,Entire home/apt,105,365,0.5,470
262,Renée,2,Entire home/apt,135,11,2.39,146
263,Olivia,1,Entire home/apt,390,316,1.38,706
264,Helene,2,Private room,70,281,0.41,351
266,Kristian & Di,2,Private room,60,362,0.14,422
268,Niya,2,Private room,100,301,2.69,401
269,Helene,2,Private room,70,189,0.22,259
270,Debbie,2,Private room,110,0,3.55,110
271,Anthony,2,Private room,60,287,2.27,347
272,Tilly,1,Entire home/apt,90,14,0.16,104
273,Edward,1,Private room,68,86,1.96,154
274,Claire,1,Entire home/apt,115,261,2.1,376
275,Juhli,2,Private room,75,68,0.67,143
277,Mary D,1,Entire home/apt,129,231,0.15,360
278,Valerie,2,Entire home/apt,130,152,0.48,282
279,Larissa,2,Entire home/apt,95,46,1.27,141
280,Eric,1,Private room,75,364,0.26,439
281,Jessica,2,Entire home/apt,175,246,0.11,421
282,Melissa,2,Entire home/apt,190,288,0.57,478
283,Alex,2,Private room,49,331,0.15,380
284,Samir,1,Entire home/apt,212,51,1.31,263
285,Tony,1,Private room,95,364,1.11,459
286,Luis Fernando,2,Entire home/apt,140,254,0.11,394
287,Henning,1,Entire home/apt,135,189,1.87,324
288,Stefano,2,Entire home/apt,150,263,2.08,413
289,Jana,2,Entire home/apt,190,258,0.79,448
290,Per,1,Entire home/apt,124,103,0.26,227
291,Adrienne,2,Entire home/apt,135,42,0.56,177
292,Elise,1,Private room,122,246,0.93,368
293,Deda,1,Private room,109,364,1.05,473
294,Share,1,Private room,85,318,0.68,403
295,Naimah,2,Entire home/apt,145,72,1.25,217
296,Violetta,1,Entire home/apt,195,249,0.32,444
297,Jenna,2,Entire home/apt,250,272,1.34,522
298,Jason,2,Private room,125,325,0.1,450
299,Alicia,1,Entire home/apt,575,298,1.88,873
300,Silvia,1,Entire home/apt,150,35,0.55,185
301,Joab,2,Private room,70,203,0.49,273
302,Mary And Geoff,1,Private room,90,132,1.27,222
303,Eyal,1,Private room,65,5,0.63,70
304,Bruce,1,Entire home/apt,500,297,0.48,797
305,Kurt,1,Entire home/apt,250,276,0.43,526
306,Jennifer,1,Entire home/apt,125,102,0.42,227
307,Ruperto,1,Entire home/apt,200,251,0.44,451
308,Ben,2,Entire home/apt,229,188,0.5,417
309,Thai,4,Entire home/apt,90,346,0.35,436
310,Hudson,1,Entire home/apt,110,0,0.39,110
311,Vanessa,2,Private room,59,15,0.36,74
312,Daniel,2,Entire home/apt,195,71,0.6,266
313,Patty,2,Entire home/apt,169,215,0.67,384
314,Amir,1,Entire home/apt,113,253,0.27,366
315,G & S,1,Entire home/apt,250,78,0.31,328
316,Nazleen,3,Entire home/apt,115,257,2.01,372
317,Allison,2,Private room,55,0,0.01,55
318,Scott,2,Private room,69,8,2.17,77
319,Patricia,1,Entire home/apt,150,191,2.81,341
320,Evelyn,2,Entire home/apt,169,182,3.97,351
321,The Box House Hotel,2,Private room,179,79,0.36,258
322,Moss Owen,1,Private room,150,49,0.36,199
323,Nancy,2,Entire home/apt,135,0,0.1,135
324,Bliss,2,Entire home/apt,350,156,0.3,506
325,Pam,2,Private room,120,343,0.76,463
326,Jennifer,1,Private room,71,200,1.81,271
327,The Box House Hotel,2,Private room,349,60,0.09,409
328,The Box House Hotel,2,Private room,349,60,0.07,409
329,Ellis,2,Entire home/apt,165,189,0.51,354
330,The Box House Hotel,2,Private room,249,60,0.02,309
331,Christopher,2,Private room,100,0,0.68,100
332,Christopher,2,Entire home/apt,200,106,0.85,306
333,Sarah,1,Entire home/apt,169,276,2.4,445
334,Ruthven,2,Entire home/apt,185,248,1.07,433
335,Julian,2,Entire home/apt,65,194,2.27,259
336,Leslie,2,Entire home/apt,130,135,0.05,265
337,Sophie,2,Entire home/apt,199,30,0.11,229
338,Yvette,1,Entire home/apt,225,0,0.33,225
339,The Box House Hotel,2,Private room,179,81,0.14,260
340,Famous,2,Entire home/apt,150,0,0.05,150
341,Kyle,1,Entire home/apt,139,142,3.88,281
342,Ange,1,Private room,95,60,2.22,155
343,Alex,2,Entire home/apt,79,179,0.11,258
344,T,1,Entire home/apt,150,52,1.51,202
346,Marylyn,2,Entire home/apt,90,324,2.26,414
347,Nathalie,2,Entire home/apt,120,237,0.76,357
348,Savannah,3,Private room,80,365,1.21,445
350,Jason,2,Entire home/apt,175,204,3.74,379
351,Keishera,2,Entire home/apt,120,272,1.04,392
352,Tessa,2,Entire home/apt,140,0,0.13,140
353,Eduardo,2,Entire home/apt,200,9,0.07,209
354,Sahr,2,Private room,165,365,0.11,530
355,Shon,1,Entire home/apt,125,181,0.01,306
356,Peter Michael,1,Entire home/apt,130,189,0.19,319
357,Liz And Melissa,1,Shared room,65,0,1.31,65
358,Wanda,2,Entire home/apt,123,189,0.15,312
359,Giorgio,1,Private room,67,296,1.37,363
361,Mi,2,Entire home/apt,130,35,0.99,165
362,Lee And Tara,2,Private room,100,0,0.31,100
363,Chas,1,Entire home/apt,212,35,0.46,247
364,Ade,2,Entire home/apt,190,359,1.76,549
365,The Box House Hotel,2,Private room,599,60,0.09,659
366,Jason,1,Entire home/apt,249,365,1.68,614
367,Michelle,3,Private room,70,335,0.13,405
368,Alex,2,Entire home/apt,100,282,0.16,382
369,Alicia,1,Private room,60,247,3.83,307
370,Olivia,2,Entire home/apt,135,102,0.87,237
371,Maya,2,Entire home/apt,175,274,2.53,449
372,Kai,1,Entire home/apt,120,201,0.56,321
373,Driss,1,Entire home/apt,169,98,0.57,267
374,Marine,2,Entire home/apt,165,157,0.03,322
375,Kelli,1,Private room,90,0,0.02,90
376,Olivia,1,Entire home/apt,225,312,0.57,537
377,Carol,2,Private room,95,331,1.66,426
378,Anthony,2,Private room,55,275,2.51,330
379,Natalia,1,Private room,85,174,1.17,259
380,Susi,2,Entire home/apt,199,223,0.28,422
381,Tony,1,Entire home/apt,211,361,0.6,572
382,Andrey,1,Entire home/apt,145,0,0.4,145
383,Jane,1,Private room,65,283,0.35,348
384,Will,1,Entire home/apt,99,220,3.23,319
385,Lilly,3,Entire home/apt,110,363,0.32,473
386,Marylyn,2,Entire home/apt,80,315,2.27,395
387,LuLu,2,Entire home/apt,150,281,0.96,431
388,Roberta,2,Entire home/apt,110,283,0.75,393
389,Paul,1,Private room,290,20,0.36,310
391,Itamar,2,Entire home/apt,190,331,0.51,521
392,Vikram,2,Entire home/apt,200,36,0.31,236
393,Elizabeth,2,Entire home/apt,165,7,0.23,172
394,Christopher,1,Entire home/apt,110,301,1.44,411
395,Justin,1,Entire home/apt,395,170,0.73,565
396,Rodney,2,Private room,99,307,0.54,406
397,Antonín,2,Private room,39,365,0.94,404
398,Seith,1,Entire home/apt,189,201,4.1,390
399,Eric,1,Private room,85,0,0.03,85
400,Katharine,2,Entire home/apt,260,316,0.03,576
401,Wayne,1,Entire home/apt,122,271,1.18,393
402,Lauren,2,Entire home/apt,165,139,1.79,304
403,Jean,3,Entire home/apt,97,209,1.21,306
404,Catherine,1,Entire home/apt,170,0,0.25,170
405,Holly,2,Entire home/apt,125,0,0.15,125
406,Tracy,1,Private room,130,193,1.07,323
407,Giovanni,2,Entire home/apt,225,52,0.38,277
408,Karen,2,Private room,50,136,2.69,186
409,Christopher,2,Entire home/apt,170,286,0.91,456
410,Jeff,1,Entire home/apt,132,0,0.1,132
411,Irena,2,Entire home/apt,250,18,0.21,268
412,Michael,2,Entire home/apt,141,9,0.21,150
413,Jessica,2,Entire home/apt,64,3,0.73,67
414,Daniel,2,Entire home/apt,249,277,1.55,526
415,Ivy,2,Private room,79,0,1.18,79
416,Dave,1,Entire home/apt,185,233,0.71,418
417,Mark,2,Entire home/apt,120,221,2.41,341
418,Orna,2,Entire home/apt,495,355,0.41,850
419,Allison,1,Entire home/apt,375,0,0.21,375
420,Vanessa,1,Entire home/apt,175,277,0.69,452
421,Josh,1,Entire home/apt,150,0,0.23,150
422,Rinaldo,1,Entire home/apt,259,343,0.17,602
423,Jonathan,1,Private room,96,0,0.58,96
424,Oliver,2,Entire home/apt,145,0,0.08,145
426,Carolyn,1,Entire home/apt,95,0,0.08,95
427,Meighan,2,Entire home/apt,250,188,0.72,438
428,Julie,1,Entire home/apt,295,264,0.76,559
429,John,1,Entire home/apt,175,0,0.19,175
430,Mihalis,2,Entire home/apt,451,331,0.86,782
431,B.,1,Entire home/apt,165,236,2.18,401
433,"Dee, Dre & Mama Shelley",4,Entire home/apt,77,309,2.49,386
434,Peter,1,Entire home/apt,250,0,0.2,250
435,Gladys & Bob,3,Entire home/apt,129,245,4.34,374
436,M,2,Private room,98,0,0.09,98
438,Ewelina,1,Private room,95,359,0.3,454
439,Wayne,1,Private room,55,333,1.22,388
440,William,1,Entire home/apt,300,258,2.14,558
441,Lucy,3,Private room,42,236,0.55,278
442,Pat,2,Entire home/apt,125,22,1.09,147
443,Donna,1,Private room,175,236,1.8,411
444,Kimberly,1,Private room,75,365,0.42,440
445,Meredith,2,Entire home/apt,255,89,0.5,344
446,Tokunbo,2,Entire home/apt,72,164,0.91,236
447,Fred,2,Private room,165,311,0.28,476
448,Laura,2,Entire home/apt,165,23,1.28,188
449,Pepe,2,Private room,75,365,0.44,440
450,Lennny & Megan,2,Entire home/apt,130,0,0.05,130
451,Amia,2,Entire home/apt,139,222,4.0,361
452,JT And Tiziana,2,Private room,88,238,0.68,326
453,JT And Tiziana,2,Private room,80,218,0.41,298
454,Kaye,1,Private room,150,0,1.79,150
455,Ligia,1,Entire home/apt,200,0,0.12,200
456,James,1,Entire home/apt,200,235,1.08,435
457,Lucy,3,Private room,42,246,0.43,288
458,Alain,2,Private room,90,0,0.03,90
459,"Robert ""Bob""",1,Entire home/apt,295,247,2.33,542
460,Andres,2,Entire home/apt,450,15,0.79,465
461,Placid,2,Entire home/apt,130,119,0.35,249
462,Jsun,2,Private room,89,0,2.31,89
463,Jorin,1,Entire home/apt,198,234,0.44,432
464,Seith,1,Entire home/apt,99,257,2.92,356
465,Andrea,2,Private room,46,350,0.89,396
466,Jade,1,Private room,140,221,0.56,361
467,Smadar,2,Entire home/apt,500,0,0.07,500
468,Rahul,1,Private room,75,201,0.59,276
469,Lucy,3,Private room,33,161,0.32,194
470,Giancarlo,1,Entire home/apt,250,259,1.94,509
471,Wanda,2,Private room,60,0,6.7,60
472,Yvette,1,Private room,75,222,0.35,297
473,Jilly,2,Entire home/apt,350,0,0.06,350
474,Daniel,1,Entire home/apt,205,76,0.04,281
475,Adam,2,Entire home/apt,219,0,0.03,219
476,Lisel,2,Private room,60,258,0.21,318
477,Barbara,1,Entire home/apt,185,14,1.33,199
478,Chris,1,Entire home/apt,190,27,1.6,217
479,Sara,2,Entire home/apt,105,167,1.06,272
480,Benton,1,Entire home/apt,250,68,0.12,318
481,Linda & Chris,1,Entire home/apt,175,358,0.12,533
482,Alec,1,Private room,65,59,0.43,124
483,Julia,2,Entire home/apt,75,0,1.09,75
484,Vanessa,4,Private room,37,232,1.21,269
485,Ali & SweetPea,2,Entire home/apt,85,15,0.89,100
487,Lena,1,Entire home/apt,79,0,0.16,79
488,Doug,2,Private room,85,161,0.55,246
489,Benton,1,Private room,170,88,0.18,258
490,Cheryl,1,Private room,115,337,0.04,452
491,Jorin,1,Private room,89,247,0.47,336
492,Lewis,1,Shared room,49,248,4.6,297
493,Jane,2,Private room,91,287,2.49,378
494,Donna,1,Entire home/apt,400,304,1.13,704
495,Kris,2,Entire home/apt,150,0,0.46,150
496,Henry,1,Entire home/apt,2000,0,0.33,2000
497,Jennifer,2,Entire home/apt,97,193,0.32,290
498,Cj,1,Private room,100,43,0.51,143
499,Dani,2,Entire home/apt,179,25,0.24,204
500,Sarah,2,Entire home/apt,500,127,0.21,627
501,Amit,1,Entire home/apt,429,0,0.9,429
502,Kathrine,1,Entire home/apt,189,303,0.95,492
503,Milan,1,Private room,120,345,1.04,465
504,Tony,1,Entire home/apt,300,115,0.06,415
505,Jason,3,Entire home/apt,107,200,0.22,307
506,Jason,3,Entire home/apt,95,271,0.26,366
507,Rosario,1,Entire home/apt,199,12,1.17,211
508,Mat,1,Entire home/apt,120,268,0.91,388
509,Mike,1,Entire home/apt,199,89,0.69,288
510,Christian & Carla,4,Entire home/apt,125,347,2.84,472
511,Obed,2,Private room,70,37,2.4,107
512,Lisa,2,Private room,75,0,1.55,75
513,Village,1,Private room,100,359,0.07,459
514,Andrew & Markus,2,Entire home/apt,99,287,1.97,386
515,Daniel,1,Entire home/apt,250,0,0.02,250
516,Mariana,2,Entire home/apt,350,233,0.02,583
517,Mj,2,Entire home/apt,170,129,0.7,299
518,Leslie,1,Entire home/apt,165,0,0.68,165
519,Michael,1,Private room,99,353,1.0,452
520,David,1,Private room,255,365,0.02,620
521,O'Dell,2,Entire home/apt,169,297,1.86,466
522,Sundiata,2,Entire home/apt,99,56,0.94,155
523,Marina,1,Entire home/apt,169,44,0.41,213
524,Farrah,2,Entire home/apt,160,355,0.44,515
525,Karen,2,Entire home/apt,215,156,0.35,371
526,Alan,2,Entire home/apt,130,273,2.02,403
527,Matthew,1,Private room,110,274,0.85,384
528,Marcela,1,Private room,150,258,0.45,408
529,Melody,2,Private room,65,276,0.54,341
530,Mike,3,Private room,75,65,1.68,140
531,Anastasia,1,Entire home/apt,149,0,0.27,149
532,Elina,1,Private room,89,180,0.37,269
533,Susan,1,Private room,50,343,2.35,393
534,Dennis,2,Private room,43,43,6.62,86
535,Dennis,2,Private room,42,96,0.84,138
536,Erika,2,Private room,85,59,0.97,144
537,Tim,2,Entire home/apt,139,255,1.19,394
538,Elizabeth,2,Private room,105,252,2.21,357
539,Vanessa,2,Entire home/apt,265,0,0.16,265
540,Vlad,1,Entire home/apt,149,20,1.29,169
541,Colin,1,Private room,68,188,3.9,256
542,Toni,2,Entire home/apt,99,304,2.18,403
543,Jabari,1,Private room,75,38,0.65,113
544,Susanne,2,Private room,100,254,2.85,354
546,Simone,1,Entire home/apt,160,46,0.26,206
547,Andrea,2,Entire home/apt,190,328,1.62,518
548,Kestrel,2,Private room,67,0,0.76,67
549,Elizabeth,1,Entire home/apt,190,0,0.08,190
550,Erica,2,Entire home/apt,248,199,0.61,447
551,Melanie,2,Private room,100,249,0.09,349
552,Ange,1,Private room,95,64,1.84,159
553,Welcome To My Place,1,Private room,150,111,7.14,261
554,Zora & Chris,2,Entire home/apt,145,287,1.29,432
555,Danielle,2,Private room,41,286,0.59,327
556,Tiffaney,2,Entire home/apt,120,263,0.99,383
557,Lori,4,Private room,50,276,2.7,326
558,Brett,2,Entire home/apt,157,0,0.18,157
559,Evan,2,Entire home/apt,195,263,0.33,458
560,Angus,2,Entire home/apt,70,90,1.34,160
561,Martina,2,Entire home/apt,185,0,0.15,185
562,Jameelah,2,Entire home/apt,145,11,0.32,156
563,Iulia,3,Private room,50,287,2.9,337
564,Maya,2,Entire home/apt,185,1,2.39,186
565,Goldi,1,Entire home/apt,250,0,0.65,250
566,Susan,1,Private room,80,338,0.2,418
567,Jeremy,1,Entire home/apt,230,44,1.88,274
568,Daniel,2,Entire home/apt,100,0,0.1,100
